rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,updated_at
10,339. 종로4가 사거리,3,30,37.57106781,126.99819183,ST-155,2025-09-04T10:00:00.000+09:00
8,340. 혜화동 로터리,25,313,37.58562851,127.00067902,ST-156,2025-09-04T10:00:00.000+09:00
8,341. 혜화역 3번출구 뒤,2,25,37.58156967,127.00178528,ST-157,2025-09-04T10:00:00.000+09:00
22,342. 대학로 마로니에공원,8,36,37.57978439,127.00253296,ST-158,2025-09-04T10:00:00.000+09:00
6,343. 힐스테이트창경궁 아파트 앞,13,217,37.57561111,127.00469971,ST-159,2025-09-04T10:00:00.000+09:00
10,344. 성균관대 E하우스 앞,18,180,37.57419968,127.00659180,ST-160,2025-09-04T10:00:00.000+09:00
18,345. 서울보증보험본사 앞,16,89,37.57330704,127.00070953,ST-161,2025-09-04T10:00:00.000+09:00
10,346. 맥스타일 앞,10,100,37.56896210,127.01014709,ST-162,2025-09-04T10:00:00.000+09:00
18,347. 동대문역사문화공원역 9번출구 앞,4,22,37.56533051,127.00784302,ST-163,2025-09-04T10:00:00.000+09:00
14,348. 독립문역 사거리,23,164,37.57202911,126.96078491,ST-183,2025-09-04T10:00:00.000+09:00
5,349. 어린이도서관,3,60,37.57633209,126.96858978,ST-165,2025-09-04T10:00:00.000+09:00
5,351. 청운초교 앞 삼거리,11,220,37.58496857,126.97041321,ST-167,2025-09-04T10:00:00.000+09:00
10,352. 중앙고입구 삼거리,7,70,37.58341599,126.98523712,ST-168,2025-09-04T10:00:00.000+09:00
8,353. 재동초교 앞 삼거리,12,150,37.57938766,126.98494720,ST-169,2025-09-04T10:00:00.000+09:00
10,354. 포르투갈 대사관 앞,8,80,37.57915497,126.98896027,ST-170,2025-09-04T10:00:00.000+09:00
15,355. 서울사대부설초등학교 앞,3,20,37.57650757,127.00245667,ST-171,2025-09-04T10:00:00.000+09:00
15,356. KT혜화지사 앞,3,20,37.57714462,127.00205994,ST-172,2025-09-04T10:00:00.000+09:00
13,358. 성균관대입구 사거리 A,1,8,37.58250046,126.99853516,ST-173,2025-09-04T10:00:00.000+09:00
8,359. 원남동사거리,16,200,37.57606125,126.99768066,ST-174,2025-09-04T10:00:00.000+09:00
10,361. 동묘앞역 1번출구 뒤,37,370,37.57324219,127.01590729,ST-175,2025-09-04T10:00:00.000+09:00
10,362. 청계8가사거리 A,22,220,37.57223511,127.02317810,ST-176,2025-09-04T10:00:00.000+09:00
13,363. 신설동역 11번출구 뒤,53,408,37.57559204,127.02285004,ST-177,2025-09-04T10:00:00.000+09:00
8,364. 창신역 1번출구 앞,10,125,37.57933426,127.01508331,ST-178,2025-09-04T10:00:00.000+09:00
13,367. 독립문역 3-1번출구 ,10,77,37.57415771,126.95851898,ST-180,2025-09-04T10:00:00.000+09:00
15,368. SK 서린빌딩 앞,2,13,37.56924820,126.98053741,ST-181,2025-09-04T10:00:00.000+09:00
23,370. 시청역(2호선) 9번출구 뒤,0,0,37.56322861,126.97483826,ST-185,2025-09-04T10:00:00.000+09:00
10,371. 동대입구역 6번출구 뒤,3,30,37.55887222,127.00553894,ST-186,2025-09-04T10:00:00.000+09:00
10,372. 약수역 3번출구 뒤,1,10,37.55429459,127.01119995,ST-187,2025-09-04T10:00:00.000+09:00
7,379. 서울역9번출구,6,86,37.55599976,126.97335815,ST-194,2025-09-04T10:00:00.000+09:00
8,380. CJ제일제당 앞,9,113,37.56386566,127.00274658,ST-195,2025-09-04T10:00:00.000+09:00
10,381. 장충체육관,0,0,37.55853271,127.00698853,ST-196,2025-09-04T10:00:00.000+09:00
7,382. 약수역 10번출구 앞,2,29,37.55519867,127.01004791,ST-197,2025-09-04T10:00:00.000+09:00
27,383. 신당역 12번 출구 뒤,27,100,37.56591797,127.01642609,ST-198,2025-09-04T10:00:00.000+09:00
5,384. 중림동삼거리,4,80,37.55978012,126.96850586,ST-199,2025-09-04T10:00:00.000+09:00
10,385. 종각역 5번출구,1,10,37.56983566,126.98265839,ST-336,2025-09-04T10:00:00.000+09:00
10,387. 훈련원공원주차장 앞,7,70,37.56699371,127.00346375,ST-338,2025-09-04T10:00:00.000+09:00
10,388. 동성중학교 앞,1,10,37.58573532,127.00160980,ST-444,2025-09-04T10:00:00.000+09:00
9,389. 을지로4가역 1번출구,0,0,37.56673050,126.99660492,ST-943,2025-09-04T10:00:00.000+09:00
12,390. 충무로역 1번출구,0,0,37.56138992,126.99535370,ST-944,2025-09-04T10:00:00.000+09:00
8,391. 시립미술관,5,63,37.56505203,126.97340393,ST-977,2025-09-04T10:00:00.000+09:00
12,393. 동대문역 8번 출구,7,58,37.57014084,127.00937653,ST-1372,2025-09-04T10:00:00.000+09:00
15,394. 경희궁 자이 3단지,7,47,37.56748962,126.96591949,ST-1373,2025-09-04T10:00:00.000+09:00
8,395. 경희궁 자이 2단지,10,125,37.56885529,126.96456146,ST-1374,2025-09-04T10:00:00.000+09:00
13,397. 종묘공영주차장 건너편,3,23,37.57048035,126.99663544,ST-1432,2025-09-04T10:00:00.000+09:00
8,398. 을지로3가역 3번출구,0,0,37.56660461,126.99249268,ST-1435,2025-09-04T10:00:00.000+09:00
15,399. 서울역 센트럴 자이아파트,11,73,37.55410767,126.96540833,ST-1436,2025-09-04T10:00:00.000+09:00
14,400. 상암한화오벨리스크 1차 앞,42,300,37.58752441,126.88300323,ST-110,2025-09-04T10:00:00.000+09:00
